INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
311,Advances In The Study Of Behavior,00653454,2.692,3.182,3.367,5.87,5.167,2.5
312,Advanced Synthesis & Catalysis,16154150,5.542,5.535,6.048,5.25,5.187,5.619
313,Advances in Theoretical and Mathematical Physics,10950761,1.781,1.066,0.855,1.736,2.034,2.075
314,Advances In Therapy,0741238X,2.438,2.125,2.105,1.668,0.936,0.973
315,Advances in Vibration Engineering,09725768,0.29,0.197,0.328,0.125,0,0
316,Advances In Virus Research,00653527,3.585,2.844,3.971,0,5.522,4.886
317,Advances In Water Resources,03091708,2.78,2.412,2.449,2.47,2.354,2.235
318,Aeolian Research,18759637,2.841,2.52,2.179,0,0,0
319,Aequationes Mathematicae,00019054,0.549,0.422,0.511,0.841,0,0
320,Aerobiologia,03935965,1.202,1.333,1.515,1.052,1.173,1.086
321,Aeronautical Journal,00019240,0.336,0.311,0.482,0.496,0.412,0.292
322,Aerosol and Air Quality Research,16808584,2.664,0,2.827,1.792,0,0
323,Aerosol Science And Technology,02786826,3.155,2.78,2.667,2.34,2.739,2.686
324,Aerospace Science And Technology,12709638,1,0.873,0.983,0.59,0.674,0.74
325,Aerospace America,0740722X,0.048,0.048,0,0.047,0.15,0.048
326,Aesthetic Plastic Surgery,0364216X,1.189,1.264,1.407,1.252,1.179,0.782
327,Aesthetic Surgery Journal,1090820X,2.034,1.564,1.469,0,0,0
328,Aeu-International Journal Of Electronics And Communications,14348411,0.696,0.551,0.588,0.519,0.508,0.371
329,Afinidad,00019704,0.106,0.145,0.138,0.233,0.19,0.244
330,African Entomology,10213589,0.772,0.969,0.47,0.338,0.42,0.308
331,African Health Sciences,16806905,0.662,0.5,0.492,0.521,0,0
332,African Invertebrates,16815556,0.5,0.739,0.432,0.8,1.216,0
333,Afr J Agr Res,1991637X,0,0,0,0.263,0.08,0
